id,interval_start,interval_end,consumption,mpan,meter_serial
95,"2025-02-10 01:00:00","2025-02-10 02:00:00",0.418,1900015119183,19L3542545
96,"2025-02-10 00:00:00","2025-02-10 01:00:00",7.504,1900015119183,19L3542545
97,"2025-02-09 23:00:00","2025-02-10 00:00:00",4.948,1900015119183,19L3542545
98,"2025-02-09 22:00:00","2025-02-09 23:00:00",0.178,1900015119183,19L3542545
99,"2025-02-09 21:00:00","2025-02-09 22:00:00",6.277,1900015119183,19L3542545
100,"2025-02-09 20:00:00","2025-02-09 21:00:00",0.724,1900015119183,19L3542545
101,"2025-02-09 19:00:00","2025-02-09 20:00:00",1.099,1900015119183,19L3542545
102,"2025-02-09 18:00:00","2025-02-09 19:00:00",1.236,1900015119183,19L3542545
103,"2025-02-09 17:00:00","2025-02-09 18:00:00",0.936,1900015119183,19L3542545
104,"2025-02-09 16:00:00","2025-02-09 17:00:00",1.272,1900015119183,19L3542545
105,"2025-02-09 15:00:00","2025-02-09 16:00:00",3.014,1900015119183,19L3542545
106,"2025-02-09 14:00:00","2025-02-09 15:00:00",0.145,1900015119183,19L3542545
107,"2025-02-09 13:00:00","2025-02-09 14:00:00",0.004,1900015119183,19L3542545
108,"2025-02-09 12:00:00","2025-02-09 13:00:00",0.005,1900015119183,19L3542545
109,"2025-02-09 11:00:00","2025-02-09 12:00:00",0.024,1900015119183,19L3542545
110,"2025-02-09 10:00:00","2025-02-09 11:00:00",9.394,1900015119183,19L3542545
111,"2025-02-09 09:00:00","2025-02-09 10:00:00",0.004,1900015119183,19L3542545
112,"2025-02-09 08:00:00","2025-02-09 09:00:00",0.006,1900015119183,19L3542545
113,"2025-02-09 07:00:00","2025-02-09 08:00:00",0.007,1900015119183,19L3542545
114,"2025-02-09 06:00:00","2025-02-09 07:00:00",0.006,1900015119183,19L3542545
115,"2025-02-09 05:00:00","2025-02-09 06:00:00",0.459,1900015119183,19L3542545
116,"2025-02-09 04:00:00","2025-02-09 05:00:00",4.22,1900015119183,19L3542545
117,"2025-02-09 03:00:00","2025-02-09 04:00:00",8.198,1900015119183,19L3542545
118,"2025-02-09 02:00:00","2025-02-09 03:00:00",9.639,1900015119183,19L3542545
119,"2025-02-09 01:00:00","2025-02-09 02:00:00",8.716,1900015119183,19L3542545
120,"2025-02-09 00:00:00","2025-02-09 01:00:00",0.696,1900015119183,19L3542545
121,"2025-02-08 23:00:00","2025-02-09 00:00:00",0.0,1900015119183,19L3542545
122,"2025-02-08 22:00:00","2025-02-08 23:00:00",0.006,1900015119183,19L3542545
123,"2025-02-08 21:00:00","2025-02-08 22:00:00",0.009,1900015119183,19L3542545
124,"2025-02-08 20:00:00","2025-02-08 21:00:00",0.021,1900015119183,19L3542545
125,"2025-02-08 19:00:00","2025-02-08 20:00:00",0.002,1900015119183,19L3542545
126,"2025-02-08 18:00:00","2025-02-08 19:00:00",0.002,1900015119183,19L3542545
127,"2025-02-08 17:00:00","2025-02-08 18:00:00",0.007,1900015119183,19L3542545
128,"2025-02-08 16:00:00","2025-02-08 17:00:00",0.128,1900015119183,19L3542545
129,"2025-02-08 15:00:00","2025-02-08 16:00:00",12.542,1900015119183,19L3542545
130,"2025-02-08 14:00:00","2025-02-08 15:00:00",0.0,1900015119183,19L3542545
131,"2025-02-08 13:00:00","2025-02-08 14:00:00",0.001,1900015119183,19L3542545
132,"2025-02-08 12:00:00","2025-02-08 13:00:00",0.002,1900015119183,19L3542545
133,"2025-02-08 11:00:00","2025-02-08 12:00:00",0.11,1900015119183,19L3542545
134,"2025-02-08 10:00:00","2025-02-08 11:00:00",2.863,1900015119183,19L3542545
135,"2025-02-08 09:00:00","2025-02-08 10:00:00",0.0,1900015119183,19L3542545
136,"2025-02-08 08:00:00","2025-02-08 09:00:00",0.002,1900015119183,19L3542545
137,"2025-02-08 07:00:00","2025-02-08 08:00:00",0.002,1900015119183,19L3542545
138,"2025-02-08 06:00:00","2025-02-08 07:00:00",0.005,1900015119183,19L3542545
139,"2025-02-08 05:00:00","2025-02-08 06:00:00",0.469,1900015119183,19L3542545
140,"2025-02-08 04:00:00","2025-02-08 05:00:00",7.841,1900015119183,19L3542545
141,"2025-02-08 03:00:00","2025-02-08 04:00:00",8.9,1900015119183,19L3542545
142,"2025-02-08 02:00:00","2025-02-08 03:00:00",0.442,1900015119183,19L3542545
143,"2025-02-08 01:00:00","2025-02-08 02:00:00",0.944,1900015119183,19L3542545
144,"2025-02-08 00:00:00","2025-02-08 01:00:00",2.62,1900015119183,19L3542545
145,"2025-02-07 23:00:00","2025-02-08 00:00:00",0.011,1900015119183,19L3542545
146,"2025-02-07 22:00:00","2025-02-07 23:00:00",0.012,1900015119183,19L3542545
147,"2025-02-07 21:00:00","2025-02-07 22:00:00",0.197,1900015119183,19L3542545
